season,week,team,pa
2024,2,MIA,31
2024,2,HOU,13
2024,2,KC,25
2024,2,JAX,18
2024,2,GB,10
2024,2,CAR,26
2024,2,ARI,10
2024,2,BAL,26
2024,2,DAL,44
2024,2,WAS,18
2024,2,TEN,24
2024,2,DEN,13
2024,2,NE,23
2024,2,MIN,17
2024,2,DET,20
2024,3,DAL,28
2024,3,LV,36
2024,3,IND,16
2024,3,TB,26
2024,3,ARI,20
2024,3,TEN,30
2024,3,MIN,7
2024,3,BUF,10
2024,3,ATL,22
2024,3,PIT,10
2024,3,SEA,3
2024,3,NYJ,3
2024,3,CLE,21
2024,3,NO,15
2024,3,LA,24
2024,3,CIN,38
2024,4,BAL,10
2024,4,CAR,34
2024,4,LV,16
2024,4,NYG,20
2024,4,NYJ,10
2024,4,HOU,20
2024,4,LAC,17
2024,4,CHI,18
2024,4,GB,31
2024,4,SF,13
2024,4,ATL,24
2024,4,TB,16
2024,4,IND,24
2024,4,DET,29
2024,4,MIA,31
2024,4,ARI,42
2024,5,SF,24
2024,5,CIN,41
2024,5,HOU,20
2024,5,CHI,10
2024,5,WAS,13
2024,5,PIT,20
2024,5,LA,24
2024,5,JAX,34
2024,5,DEN,18
2024,5,NE,15
2024,5,KC,13
2024,5,SEA,29
2024,5,MIN,17
2024,5,ATL,30
2024,6,GB,13
2024,6,CAR,38
2024,6,NYJ,23
2024,6,NYG,17
2024,6,PHI,16
2024,6,DAL,47
2024,6,NE,41
2024,6,TEN,20
2024,6,CHI,16
2024,6,DEN,23
2024,6,LV,32
2024,6,SEA,36
2024,6,NO,51
2024,6,BAL,23
2024,7,TB,41
2024,7,WAS,7
2024,7,CLE,21
2024,7,NO,33
2024,7,MIN,31
2024,7,GB,22
2024,7,SF,28
2024,7,ARI,15
2024,7,LA,15
2024,7,IND,10
2024,7,JAX,16
2024,7,PIT,15
2024,7,NYG,28
2024,7,ATL,34
2024,7,BUF,10
2024,8,MIA,28
2024,8,TB,31
2024,8,CLE,24
2024,8,SEA,31
2024,8,DEN,14
2024,8,WAS,15
2024,8,SF,24
2024,8,JAX,30
2024,8,HOU,20
2024,8,LV,27
2024,8,LA,20
2024,8,LAC,8
2024,8,PIT,18
2024,8,NE,22
2024,8,CIN,37
2024,8,DET,14
2024,9,ARI,9
2024,9,ATL,21
2024,9,BAL,10
2024,9,GB,24
2024,9,NYJ,13
2024,9,MIN,13
2024,9,PHI,23
2024,9,CLE,27
2024,9,SEA,26
2024,9,CIN,24
2024,9,BUF,27
2024,9,TEN,17
2024,9,CAR,22
2024,9,KC,24
2024,9,NYG,27
2024,10,NO,17
2024,10,IND,30
2024,10,BAL,34
2024,10,KC,14
2024,10,HOU,26
2024,10,LA,23
2024,10,JAX,12
2024,10,CHI,19
2024,10,CAR,17
2024,10,ARI,6
2024,10,DAL,34
2024,10,WAS,28
2024,10,TB,23
2024,10,LAC,17
2024,11,DEN,6
2024,11,PIT,16
2024,11,LAC,27
2024,11,NO,14
2024,11,CHI,20
2024,11,DAL,34
2024,11,NYJ,28
2024,11,DET,6
2024,11,BUF,21
2024,11,NE,28
2024,11,MIA,19
2024,11,TEN,23
2024,11,SF,20
2024,11,PHI,18
2024,12,SEA,6
2024,12,LAC,30
2024,12,WAS,34
2024,12,LV,29
2024,12,IND,24
2024,12,CAR,30
2024,12,CHI,30
2024,12,MIA,15
2024,12,LA,37
2024,12,CLE,19
2024,12,GB,10
2024,12,NYG,30
2024,12,HOU,32
2024,13,MIN,22
2024,13,DET,20
2024,13,DEN,32
2024,13,JAX,23
2024,13,NE,25
2024,13,ATL,17
2024,13,NO,21
2024,13,KC,17
2024,13,GB,17
2024,13,DAL,20
2024,13,BAL,24
2024,13,CIN,44
2024,13,NYJ,26
2024,13,BUF,10
2024,13,CAR,26
2024,13,WAS,19
2024,14,MIN,21
2024,14,LA,42
2024,14,PHI,16
2024,14,SF,13
2024,14,DAL,27
