player_id,season,week,pass_td_40,pass_td_50,rec_td_40,rec_td_50,rush_td_40,rush_td_50,pick_six_thrown
00-0028118,2021,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028237,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028986,2021,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028986,2021,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029000,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029239,2021,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029239,2021,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029263,2021,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
00-0029263,2021,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0
00-0029263,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029263,2021,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029263,2021,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029263,2021,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029263,2021,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029263,2021,14,1.0,1.0,0.0,0.0,0.0,0.0,0.0
00-0029263,2021,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029263,2021,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029263,2021,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029293,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029293,2021,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029293,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029293,2021,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029567,2021,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029604,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029604,2021,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0
00-0029604,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029604,2021,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029604,2021,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029604,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029604,2021,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029604,2021,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0
00-0029604,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029604,2021,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029604,2021,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029604,2021,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029604,2021,14,1.0,1.0,0.0,0.0,0.0,0.0,0.0
00-0029604,2021,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029604,2021,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029604,2021,18,2.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029608,2021,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029608,2021,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029608,2021,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
