player,pos,team,ecr,sd,bye,age,gsis_id,proj_ppg,exp_games,proj_pts,proj_sd,ratio,ratio_raw,raw_games,market_std_pts,replacement,vorp,vorp_rank
Dontayvion Wicks,WR,PHI,182.79,32.6,10.0,25.22381930184805,00-0038393,9.96193736374434,15.4,153.41383540166285,63.011483788471125,1.0764602607552105,1.062144677514213,45.0,142.51695208333334,195.337311092439,-41.923475690776144,312
Isaac TeSlaa,WR,DET,219.56,25.73,6.0,24.542094455852155,00-0040669,9.960109885246878,15.4,153.38569223280192,63.00953084368318,1.0762627883250924,1.0461133069828723,14.0,142.51695208333334,195.337311092439,-41.95161885963708,313
Savion Williams,WR,GB,347.5,28.18,11.0,24.78850102669405,00-0040009,9.958814658573472,15.4,153.36574574203146,63.00814687300214,1.0761228296010328,1.0392156862745099,11.0,142.51695208333334,195.337311092439,-41.97156535040753,314
Tim Patrick,WR,NYJ,351.0,33.18,13.0,32.785763175906915,00-0033375,9.958399730644437,15.4,153.35935585192433,63.00770354742524,1.0760779936007274,1.056298381421534,27.0,142.51695208333334,195.337311092439,-41.97795524051466,315
Isaiah Williams,WR,NYJ,307.29,25.84,13.0,25.60164271047228,00-0039451,9.957613210293767,15.4,153.347243438524,63.006863239790974,1.0759930043189383,1.0355450236966826,10.0,142.51695208333334,195.337311092439,-41.99006765391499,316
Cedric Tillman,WR,NO,317.74,32.34,8.0,26.38193018480493,00-0038979,9.954674002344731,15.4,153.30197963610885,63.00372351831594,1.0756754013829122,1.0568797399783316,32.0,142.51695208333334,195.337311092439,-42.03533145633014,317
Andrei Iosivas,WR,CIN,283.65,36.25,6.0,26.89390828199863,00-0038619,9.952669077518083,15.4,153.27110379377848,63.00158225903626,1.07545875457789,1.058563748079877,41.0,142.51695208333334,195.337311092439,-42.066207298660515,318
Xavier Legette,WR,CAR,269.99,28.59,5.0,25.60164271047228,00-0039342,9.9507793366642,15.4,153.24200178462868,62.99956434445564,1.075254554244355,1.054804104477612,30.0,142.51695208333334,195.337311092439,-42.09530930781031,319
Xavier Hutchinson,WR,HOU,287.55,44.52,8.0,26.26420260095825,00-0038618,9.949133025561558,15.4,153.216648593648,62.99780663016579,1.0750766582775237,1.057451253481894,41.0,142.51695208333334,195.337311092439,-42.120662498791006,320
Jalen Tolbert,WR,MIA,294.16,45.95,6.0,27.52361396303901,00-0037666,9.944402464930553,15.4,153.1437979599305,62.99275730589457,1.0745654865702108,1.0559629486684678,41.0,142.51695208333334,195.337311092439,-42.193513132508485,321
