vorp_rank,player,pos,team,ecr,ratio,proj_pts,proj_sd,vorp,replacement,bye,age
163,De'Zhaun Stribling,WR,SF,121.47,1.0842971096214584,177.4532209396874,64.78551593993288,-19.657755526682053,197.11097646636944,8.0,23.7180013689254
164,Dalton Schultz,TE,HOU,162.07,1.0629619209510068,137.4225417404007,46.32368119654922,-20.269240612791407,157.6917823531921,8.0,30.154688569472963
165,Khalil Shakir,WR,BUF,122.63,1.0972864667862725,176.8242325240892,64.73647622919347,-20.286743942280253,197.11097646636944,7.0,26.590006844626966
166,Woody Marks,RB,HOU,135.81,1.124145623038949,173.7889764701708,76.66238805860797,-20.39144802300362,194.18042449317443,8.0,25.68651608487337
167,Kyler Murray,QB,MIN,113.74,1.156107255594721,282.50947481109705,98.55368034015687,-20.588193356716204,303.09766816781325,6.0,29.08145106091718
168,Jordan Love,QB,GB,116.43,1.1808378752724258,282.2649132006078,98.5347030248186,-20.83275496720546,303.09766816781325,11.0,27.84394250513347
169,New Orleans Saints,DST,NO,261.57,,91.78333333333332,30.0,-21.783333333333346,113.56666666666666,8.0,
170,Chig Okonkwo,TE,WAS,163.01,1.06010664745741,135.5785310225789,46.15793386385873,-22.113251330613224,157.6917823531921,7.0,26.99520876112252
171,San Francisco 49ers,DST,SF,264.07,,91.38333333333333,30.0,-22.183333333333337,113.56666666666666,8.0,
172,Hunter Henry,TE,NE,167.1,1.07139161518373,135.42473829995578,46.144184810264605,-22.267044053236333,157.6917823531921,11.0,31.74811772758385
173,Tyler Bass,K,BUF,275.3,,114.33333333333331,24.0,-22.33333333333333,136.66666666666666,7.0,29.557837097878167
174,Cincinnati Bengals,DST,CIN,268.0,,88.51666666666667,30.0,-25.05,113.56666666666666,6.0,
175,Blake Grupe,K,NYJ,279.5,,111.0,24.0,-25.666666666666657,136.66666666666666,13.0,27.835728952772072
176,Tyler Allgeier,RB,ARI,136.5,1.1107076179179056,168.37966276262205,76.32632522997959,-25.80076173055238,194.18042449317443,14.0,26.392881587953458
177,T.J. Hockenson,TE,MIN,188.02,1.0696731993734814,131.29573430712915,45.77938978285318,-26.39604804606296,157.6917823531921,6.0,29.177275838466805
